RespondentID,Budget,FTstaff,National/International,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,VirginIslands,Washington,WestVirginia,Wisconsin,Wyoming,YearsExp,YearsExpOtherOrgs,EDgender,EDsalary,AdminEntry,AdminMid,AdminSr,CommsEntry,CommsMid,CommsSr,FundraisingEntry,FundraisingMid,FundraisingSr,LandProtectionEntry,LandProtectionMid,LandProtectionSr,StewardshipEntry,StewardshipMid,StewardshipSr,EducationEntry,EducationMid,EducationSr,FinanceEntry,FinanceMid,FinanceSr,LegalEntry,LegalMid,LegalSr,PolicyEntry,PolicyMid,PolicySr,GISEntry,GISMid,GISSr,WageIncreases,COLA,Performancebased,Nonperformancebased,MaternityPaid,MaternityUnpaid,PaternityPaid,PaternityUnpaid,FamilyLeavePaid,FamilyLeaveUnpaid,SabbaticalPaid,SabbaticalUnpaid,VacationFirstYr,VacationFifthYr,SickFirstYr,SickFifthYr,HolidayFirstYr,HolidayFifthYr,PersonalFirstYr,PersonalFifthYr,PTOFirstYr,PTOFifthYr,FlextimeYes,FlextimeNo,TelecommutingYes,TelecommutingNo,TeleworkingYes,TeleworkingNo,EmployeeHealthIns,EmployeeDental,EmployeeLTD,EmployeeSTD,EmployeeLife,GroupPlan,Reimbursement,ChamberofCommerce,OtherAssocPlan,PPO,HMO,POS,SpouseDependentHealth,SpouseDependentDental,SpouseDependentLTD,SpouseDependentSTD,SpouseDependentLife,SpouseDependentPremiumPercent,DomesticPartnerHealth,DomesticPartnerDental,DomesticPartnerLTD,DomesticPartnerSTD,DomesticPartnerLife,DomesticPartnerPremiumPercent,Retirement,403b,SIMPLESEPIRA,401k,PercentContrib,MaxPercentMatch,MaxDollarsMatch,White,BlackAfricanAm,HispanicLatinoSpanishorigin,AmericanIndianAlaskaNative,Asian,MiddleEasternNorthAfrican,NativeHawaiianOtherPacificIslander,Other
6388182623,1142928,6,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,Male,203500,,,52250,,,,,,50160,,,,,,67762,,,,,,,,,,,,,,,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,,,5,15,10,10,12,12,2,2,,,,No,,No,,No,Yes,Yes,Yes,Yes,No,Land trust gets its own group plan,,,,,HMO,,Yes,Yes,No,No,No,77.50%,Yes,Yes,No,No,No,77.50%,Yes,403(b) plan,,,6,0,0,6,0,0,0,0,0,0,0
6393294354,8041549,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Jersey,,,,,,,,Pennsylvania,,,,,,,,,,,,,,,12,0,Female,203060,,50294,,,41000,65700,,,81410,,52000,76266,32250,51556,,,,,,75900,110600,,,,,,104500,,59250,90000,Yes,,,,Paid,,,Unpaid,Paid,,,,2,4,5,10,9,9,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,,,Yes,Sliding scale based on salary 4% to 24% Supplemental life available for dependents at cost,No,No,No,No,No,,Yes,403(b) plan,,,5,7,100000,68,0,2,,,,,
6394013597,"1,600,000",8,,,,,,,,,,District of Columbia,,,,,,,,,,,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia,,,West Virginia,,,10,,Male,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394352774,"$4,660,000 ",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,,34,0,Male,"$187,480 ",,35000,102000,30000,,104800,30000,70000,137000,30000,38700,94700,35300,,66500,,67000,,,69000,114700,,,,,,,,56000,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,Paid,,15,20,12,12,10,10,3,3,,,,,Yes,,,,Yes,No,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,HMO,,Yes,No,No,No,No,"80% if they take the base plan, but less if they take the more expensive options",Yes,No,No,No,No,Same as employee significant other,Yes,403(b) plan,,,9,,,27,,,1,,,,
6391383806,"$5,000,000 ",26,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,Male,"$185,000 ",27000,40000,70000,,,,,,135000,50000,75000,,,,,,,,,,125000,,,,,,100000,,,,Yes,,,Non-performance-based,,Unpaid,,Unpaid,,Unpaid,,,,,,,,,,,,,Yes,,,No,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,,HMO,,,,,,,,,,,,,,Yes,403(b) plan,,,5,,,25,1,1,,,,,
6343971442,"2,801,861.00",25,,,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,Male,"176,000",,36517,,46818,50000,80000,42488,48066,92000,44370,,72992,35700,,52020,,,,,,86000,,,,,,,,,50000,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,,,10,20,12,12,8,8,2,2,,,Yes,,,No,,No,Yes,Yes,Yes,No,Yes,,,Chamber of Commerce member plans,,,,,Yes,Yes,,,,80%,Yes,Yes,,,,80%,Yes,403(b) plan,,,,6,,25,,,,,,,
6356979538,"$2,269,978 ",16,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,Male,175000,,36000,,,,65000,,55000,88000,,55000,90000,,50000,90000,,,,,,75000,,,,,,95000,,,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,,Unpaid,Paid,,,Unpaid,15,18,10,10,11,12,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,No,No,No,50,Yes,Yes,No,No,No,50,Yes,,,401(k) plan,3,4,,15,,1,,,,,
6351250068,"$1,600,000 ",12,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,Male,"$175,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6396310809,1500000,13,,,,,,,,,,,,,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyoming,12,0,Female,170000,,45000,,,47500,,,47500,70000,,51250,,,57500,50000,,,,,85000,,,67000,,,,,,,,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,,10,21,12,20,11,11,,,,,,No,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,,,,Yes,Yes,,,Yes,75,Don't know,Don't know,Don't know,Don't know,Don't know,,Yes,,SIMPLE IRA or SEP-IRA,,2,,,13,,,,,,,
6365315305,"2,320,000",9,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,17,Male,168000,,,102600,40000,64500,112200,,42600,88200,,,86000,,,,,,,,,99500,,,,,,,,,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,Unpaid,Paid,Unpaid,Paid,Unpaid,,,15,19,12,12,11,11,,,,,Yes,,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,,HMO,,Yes,Yes,No,No,Yes,0,Yes,Yes,No,No,Yes,0,Yes,,,401(k) plan,3,0,0,9,,,,,,,
6396487342,6177000,23,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,Male,165600,,65100,,45000,,95000,46500,68000,110000,70000,105000,130000,43700,60000,102700,,,,47800,67600,121000,,,,,,,,69600,,Yes,,Performance-based,Non-performance-based,,Unpaid,,Unpaid,Paid,,,Unpaid,10,15,10,10,12,12,,,,,Yes,,Yes,,,No,Yes,Yes,Yes,,Yes,Land trust gets its own group plan,,,,PPO,HMO,,,,,,,"By elections a less expensive plan, employee may use a flat benefit amount to cover some cost of spouse/dependent/domestic partner",,,,,,"By elections a less expensive plan, employee may use a flat benefit amount to cover some cost of spouse/dependent/domestic partner",Yes,403(b) plan,,,5,,,21,,,,2,,,
6308280454,2500000,11,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Male,165000,,,,,61000,,,,95000,,,103000,,59000,96000,,,,,,118000,,,,,,,,,,Yes,,Performance-based,,Paid,,Paid,,Paid,,,Unpaid,3,4,12,12,11,11,3,3,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,HMO,,Yes,Yes,No,No,No,0%,Yes,Yes,No,No,No,0%,Yes,,SIMPLE IRA or SEP-IRA,,3,3,15500,13,,,,,,,
6386400262,"$,4,000,000",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,,24,7,Male,"160,000",,35000,57000,,41000,62500,,63000,95000,32000,35000,65000,32000,35000,65000,,,,,38000,65000,,,,,,,,,57000,Yes,According to COLA (Cost of Living Adjustment),,Non-performance-based,Paid,,Paid,,Paid,,,Unpaid,14,21,Other,Other,9,9,3,3,,,Yes,,,No,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,,,,Yes,Yes,No,No,No,50%,Yes,Yes,No,No,No,50%,Yes,403(b) plan,,,7,0,7,,,,,,,,
6308003891,"$1,200,000 ",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,,,,,,,,,,,,,,,13,0,Female,"160,000",,,105000,,,74000,,,63000,,43000,,34000,48000,,,,,,,,,,,,,,,43000,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,,Unpaid,,Unpaid,Paid,,,,12,18,6,6,4,4,4,4,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,Chamber of Commerce member plans,,,,,No,No,No,No,No,,No,No,No,No,No,,Yes,,SIMPLE IRA or SEP-IRA,,3,,,8,,,,,,,
6391164043,1644041.6,16,,,,,,,,,,,,,,,,,,,,,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,Male,155879.69,85624,111312,136999,47808,60955,74102,75774,98506,121238,47808,60955,74102,47808,60955,74102,42685,54424,66163,38112,48593,59074,,,,47808,60955,74102,34709,43386,52064,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,Paid,,15,25,5,5,10,10,,,,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Land trust gets its own group plan,,,,,,,Yes,Yes,No,No,No,% (based on years of service),Yes,Yes,No,No,No,% (based on years of service),Yes,403(b) plan,,,5,7,,15,,,,1,,,
6344495548,"5,797,000.00",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,20,2,Female,"153,974",33825,38100,39000,,52000,95600,50184,72450,104500,,55500,90000,33000,37000,43500,,51000,60200,,45000,94600,,,,,59000,98700,,,54000,Yes,,Performance-based,,Paid,,Paid,,,Unpaid,,Unpaid,15,20,12,12,12,12,,,,,Yes,,Yes,,,No,Yes,Yes,Yes,No,Yes,,,,,,HMO,,Yes,Yes,No,No,No,50%,Yes,Yes,No,No,No,50%,Yes,403(b) plan,,,4,4,,36,,,,,,,
6364318658,3270431,2,,,,,,,,Connecticut,,,,,,,,,,,,,Maine,,Massachusetts,,,,,,,,New Hampshire,,,,,,,,,,,Rhode Island,,,,,,,,,,,,,80,,Male,153000,,,,,,,,,,,,,,,,,44000,,,,,,,,,,,,,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,,,15,19,10,10,11,11,,,,,Yes,,Yes,,Yes,,Yes,No,Yes,Yes,Yes,Land trust gets its own group plan,,,,,HMO,,Yes,No,No,No,No,,Yes,No,No,No,No,,Yes,,SIMPLE IRA or SEP-IRA,,5,,,5,,,,,,,
6390880020,"1,900,000.00",19,,,,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,Tennessee,,,,,,,,,,1,8,Female,"150,000.00",36000,,,,50000,,,52000,,36000,,110000,36000,60000,65000,,,,,,92000,,69615,,,,,,50000,,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,,10,20,7,7,12,12,,,,,,No,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,Yes,Yes,Yes,85% individual coverage for health & dental,Yes,Yes,Yes,Yes,Yes,0%,Yes,403(b) plan,,,5,5,,19,0,0,0,0,0,0,0
6375780058,"2,000,000.00",24,,,,,,,,,,,,,,,,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,Male,"150,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6364246154,"14,400,000",23,,,,,,,,,,,,,,,,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,Male,"150,000",40000,59500,65000,36500,57750,65000,42000,55000,93000,48000,73000,90000,47000,62500,75000,,,,60000,75000,95000,50000,58000,75000,50000,60000,80000,,,,Yes,,,,Paid,,,Unpaid,Paid,Unpaid,Paid,,10,20,12,12,7,7,3,3,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,,,POS,Yes,No,No,No,No,$100/mo/family & $50/mo/spouse or children,No,No,No,No,No,,Yes,403(b) plan,,,6,6,,22,1,,,,,,
6353121721,"$2,800,000.00 ",25,,,,,,,,,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,,,,,,,,,,,,,,,1,0,Female,"$150,000.00 ",,39000,,,48000,,,50000,,,51000,61000,35000,50000,60000,,,,,51000,,,,,,,,,43000,54000,Yes,,Performance-based,,Paid,,,,Paid,Unpaid,,,10,15,,,11,11,,,6,6,Yes,,,No,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,HMO,POS,Yes,Yes,No,No,No,75,Yes,Yes,No,No,No,75,Yes,403(b) plan,,,2,10,,22,,,,1,,,
6330121891,2462455,14,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,Male,150000,,,48378,,,53000,,63000,102960,,,87269,,,53795,,,,,,60094,,,,,,,,,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,,,,,,,,,,,,,10,10,,,24,Other,,No,Yes,,,No,Yes,Yes,No,No,No,Land trust gets its own group plan,,,,,HMO,,Yes,Yes,No,No,No,0%,Yes,Yes,No,No,No,0%,Yes,403(b) plan,,,0,6,0,13,,2,,1,,,
6395898246,"$6,460,318 ",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,Washington,,,,18,0,Male,"$142,634.25 ",,52017,,,55847,,,56078,105799,,59551,81625,,54827,77024,,59735,,,56485,95649,,,115506,,,,,55935,,Yes,According to COLA (Cost of Living Adjustment),Performance-based,,Paid,,Paid,,Paid,,,Unpaid,15,20,12,12,11,11,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,No,Yes,Land trust gets its own group plan,,,,PPO,HMO,,Yes,Yes,No,No,No,0,Yes,Yes,No,No,No,0,Yes,,,401(k) plan,,5,,,,,,,,,
6364499385,"$7,300,000 ",46,,,,,,,,,,,,,,,,,,,,,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,Male,"140,500",30800,44000,53000,41000,48000,68000,30800,51000,70000,41000,50000,60000,41000,50000,60000,,,,38000,48000,60000,,,,36000,48000,60000,36000,48000,53000,Yes,,,Non-performance-based,,Unpaid,,Unpaid,,Unpaid,Paid,,15,20,24,24,13,13,1,1,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,No,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,No,No,Yes,100%,Yes,Yes,No,No,No,100%,Yes,403(b) plan,SIMPLE IRA or SEP-IRA,,8,,,71,0,0,1,1,0,0,
6396306012,2086744,14,,,,,,,,Connecticut,,,Florida,Georgia,,,,,,,,,Maine,,Massachusetts,,,,,,,,New Hampshire,,,New York,,,,,,,,,,,,,,Vermont,,,,,,,5,0,Male,140000,,,,,44000,,,39000,97000,,,80000,41000,48500,71500,,49000,,,50000,75000,,,,,,,,,,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,,,,,,7,7,,,Other,Other,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,Land trust reimburses employee for cost of individual plans,,,,HMO,,Yes,Yes,No,No,No,"For Health the company pays 85% of premium. For Dental, LT and ST Disability and Life NEFF pays 100% of premium. If the employee chooses to go on spouse's health insurance NEFF will reimburse 125% of this cost.",Yes,Yes,No,No,No,"85% for Health, 100% for Dental",Yes,,,401(k) plan,3,6,,19,0,0,0,0,0,0,0
6391560668,"5,000,000",20,,Alabama,,,,,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,Female,"140,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346412440,1200000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,,4,0,Female,"140,000",,,,,,,50000,,105000,,,80000,45000,60000,,,,,,,,,,,,,,,,,Yes,According to COLA (Cost of Living Adjustment),,,Paid,,Paid,,Paid,,,,15,20,5,5,11,11,2,2,,,Yes,,,No,,No,Yes,Yes,Yes,Yes,Yes,Land trust gets its own group plan,,,,PPO,,,Yes,Yes,Yes,Yes,Yes,0%,Yes,Yes,Yes,Yes,Yes,0%,Yes,,SIMPLE IRA or SEP-IRA,,3,3,,10,,,,,,,
6357572439,"958,766",6,,,,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,Male,"137,750",41600,50000,55500,41600,55000,58000,85000,90500,100000,56000,90000,95000,45000,55000,60000,,,,,,,,,,,,,,,,Yes,,Performance-based,,,Unpaid,,Unpaid,,Unpaid,,Unpaid,10,20,12,12,11,11,,,,,Yes,,,No,,No,Yes,Yes,,Yes,Yes,,Land trust reimburses employee for cost of individual plans,,,,,,No,No,No,No,No,,No,No,No,No,No,,Yes,,SIMPLE IRA or SEP-IRA,,3,3,12500,5,,,,,,1,
